data,ticker,preco_fechamento,capturado_em_utc
2026-07-21,PFIN11,62.75,2026-07-21T22:27:53.351054+00:00
2026-07-21,PPEI11,84.4,2026-07-21T22:27:53.351054+00:00
2026-07-21,RBIR11,72.6,2026-07-21T22:27:53.351054+00:00
2026-07-21,SNEL11,8.4,2026-07-21T22:27:53.351054+00:00
2026-07-21,TEPP11,7.93,2026-07-21T22:27:53.351054+00:00
2026-07-21,TRXF11,91.35,2026-07-21T22:27:53.351054+00:00
2026-07-21,VIGT11,49,2026-07-21T22:27:53.351054+00:00
2026-07-21,XPID11,48.69,2026-07-21T22:27:53.351054+00:00
2026-07-21,XPIE11,43.92,2026-07-21T22:27:53.351054+00:00
2026-07-21,XPML11,104.5,2026-07-21T22:27:53.351054+00:00
2026-07-21,AMZO34,62.79,2026-07-21T22:27:53.351054+00:00
2026-07-21,AUAU3,3.14,2026-07-21T22:27:53.351054+00:00
2026-07-21,LWSA3,3.74,2026-07-21T22:27:53.351054+00:00
2026-07-21,MGLU3,4.82,2026-07-21T22:27:53.351054+00:00
2026-07-21,TASA4,4.73,2026-07-21T22:27:53.351054+00:00
2026-07-22,ALOS3,27.47,2026-07-22T22:34:24.821733+00:00
2026-07-22,COIN11,38.6,2026-07-22T22:34:24.821733+00:00
2026-07-22,NASD11,20.57,2026-07-22T22:34:24.821733+00:00
2026-07-22,SPYI11,106.3,2026-07-22T22:34:24.821733+00:00
2026-07-22,LFTB11,123.89,2026-07-22T22:34:24.821733+00:00
2026-07-22,LFTS11,156.7,2026-07-22T22:34:24.821733+00:00
2026-07-22,BDIF11,71.82,2026-07-22T22:34:24.821733+00:00
2026-07-22,BDIV11,37.56,2026-07-22T22:34:24.821733+00:00
2026-07-22,BODB11,7.66,2026-07-22T22:34:24.821733+00:00
2026-07-22,BRZP11,179.93,2026-07-22T22:34:24.821733+00:00
2026-07-22,CPTI11,85.5,2026-07-22T22:34:24.821733+00:00
2026-07-22,ENDD11,108.5,2026-07-22T22:34:24.821733+00:00
2026-07-22,FATN11,79.8,2026-07-22T22:34:24.821733+00:00
2026-07-22,FATN12,0.03,2026-07-22T22:34:24.821733+00:00
2026-07-22,GARE11,8.15,2026-07-22T22:34:24.821733+00:00
2026-07-22,HGCR11,93.47,2026-07-22T22:34:24.821733+00:00
2026-07-22,IFRA11,91.67,2026-07-22T22:34:24.821733+00:00
2026-07-22,IFRI11,101,2026-07-22T22:34:24.821733+00:00
2026-07-22,JURO11,97.36,2026-07-22T22:34:24.821733+00:00
2026-07-22,KNIP11,91.61,2026-07-22T22:34:24.821733+00:00
2026-07-22,MANA11,9.09,2026-07-22T22:34:24.821733+00:00
2026-07-22,OGIN11,7.7,2026-07-22T22:34:24.821733+00:00
2026-07-22,PFIN11,62.2,2026-07-22T22:34:24.821733+00:00
2026-07-22,PPEI11,84.47,2026-07-22T22:34:24.821733+00:00
2026-07-22,RBIR11,73,2026-07-22T22:34:24.821733+00:00
